Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,2048
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,2096
Lower Discriminator:,62
Calibration Coefficients:Elapsed Real Time:,205.39
Elapsed Live Time:,181.53
Start Time:,abril 25, 2023, 01:11:04
End Time:,abril 25, 2023, 01:15:22
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,1
31,,0
32,,5
33,,1
34,,2
35,,5
36,,12
37,,4
38,,17
39,,17
40,,16
41,,18
42,,21
43,,33
44,,98
45,,567
46,,2058
47,,3519
48,,3948
49,,3823
50,,3707
51,,3657
52,,3654
53,,3578
54,,3587
55,,3617
56,,3840
57,,3874
58,,3989
59,,4236
60,,4248
61,,4607
62,,4601
63,,4859
64,,4907
65,,5118
66,,5089
67,,5126
68,,5301
69,,5283
70,,5211
71,,5379
72,,5082
73,,5178
74,,5209
75,,5111
76,,4890
77,,4937
78,,4842
79,,4711
80,,4638
81,,4696
82,,4541
83,,4490
84,,4316
85,,4382
86,,4387
87,,4332
88,,4266
89,,4140
90,,3991
91,,4159
92,,4044
93,,4013
94,,4009
95,,3960
96,,3859
97,,3872
98,,3860
99,,3745
100,,3762
101,,3762
102,,3679
103,,3583
104,,3660
105,,3713
106,,3643
107,,3687
108,,3631
109,,3478
110,,3494
111,,3415
112,,3489
113,,3364
114,,3266
115,,3295
116,,3245
117,,3187
118,,3216
119,,3319
120,,3162
121,,3270
122,,3222
123,,3139
124,,3037
125,,3010
126,,3034
127,,3022
128,,2923
129,,2996
130,,2981
131,,2923
132,,2872
133,,2929
134,,2865
135,,2833
136,,2948
137,,2743
138,,2736
139,,2840
140,,2773
141,,2735
142,,2665
143,,2645
144,,2631
145,,2622
146,,2587
147,,2472
148,,2504
149,,2513
150,,2476
151,,2584
152,,2450
153,,2471
154,,2497
155,,2459
156,,2381
157,,2293
158,,2364
159,,2271
160,,2273
161,,2253
162,,2236
163,,2296
164,,2237
165,,2189
166,,2128
167,,2223
168,,2209
169,,2162
170,,2159
171,,2121
172,,2035
173,,2031
174,,1995
175,,2027
176,,1987
177,,2040
178,,1914
179,,1967
180,,1949
181,,1875
182,,1865
183,,1924
184,,1885
185,,1802
186,,1824
187,,1754
188,,1792
189,,1725
190,,1713
191,,1644
192,,1628
193,,1569
194,,1606
195,,1656
196,,1521
197,,1524
198,,1497
199,,1486
200,,1355
201,,1377
202,,1479
203,,1360
204,,1443
205,,1364
206,,1369
207,,1288
208,,1382
209,,1390
210,,1321
211,,1386
212,,1387
213,,1359
214,,1450
215,,1403
216,,1503
217,,1483
218,,1508
219,,1572
220,,1611
221,,1761
222,,1791
223,,1795
224,,1940
225,,2017
226,,2089
227,,2290
228,,2404
229,,2382
230,,2559
231,,2818
232,,2947
233,,3033
234,,3286
235,,3550
236,,3737
237,,3929
238,,4156
239,,4586
240,,4883
241,,5090
242,,5466
243,,6169
244,,6396
245,,6837
246,,7245
247,,7909
248,,8381
249,,8842
250,,9424
251,,10179
252,,10887
253,,11747
254,,12297
255,,12938
256,,13633
257,,14417
258,,15504
259,,16252
260,,16964
261,,17725
262,,18513
263,,19396
264,,19836
265,,20790
266,,21155
267,,22008
268,,22241
269,,22915
270,,23300
271,,23560
272,,24007
273,,24224
274,,24498
275,,24167
276,,24370
277,,24297
278,,24076
279,,23784
280,,23392
281,,22765
282,,22513
283,,21913
284,,21084
285,,20628
286,,19976
287,,19315
288,,18464
289,,17557
290,,16881
291,,15963
292,,15159
293,,14478
294,,13521
295,,12624
296,,11797
297,,11089
298,,10262
299,,9424
300,,8787
301,,8010
302,,7404
303,,6732
304,,6202
305,,5692
306,,5140
307,,4753
308,,4334
309,,3885
310,,3560
311,,3184
312,,2822
313,,2500
314,,2345
315,,2020
316,,1773
317,,1608
318,,1449
319,,1319
320,,1181
