Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Direct In
High Voltage:,0
Conversion Gain:,2048
Coarse Gain:,1
Fine Gain:,1.00
Upper Discriminator:,2096
Lower Discriminator:,62
Calibration Coefficients:Elapsed Real Time:,665.25
Elapsed Live Time:,662.59
Start Time:,abril 25, 2023, 12:57:38
End Time:,abril 25, 2023, 01:08:44
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,,0
32,,0
33,,0
34,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,1
41,,1
42,,4
43,,9
44,,30
45,,82
46,,172
47,,294
48,,314
49,,380
50,,337
51,,345
52,,321
53,,317
54,,360
55,,332
56,,370
57,,359
58,,351
59,,370
60,,353
61,,383
62,,373
63,,386
64,,384
65,,400
66,,412
67,,443
68,,445
69,,441
70,,417
71,,403
72,,409
73,,450
74,,399
75,,397
76,,445
77,,414
78,,424
79,,386
80,,391
81,,356
82,,390
83,,386
84,,355
85,,374
86,,397
87,,336
88,,394
89,,345
90,,345
91,,353
92,,396
93,,373
94,,350
95,,359
96,,357
97,,354
98,,315
99,,386
100,,403
101,,342
102,,354
103,,337
104,,334
105,,395
106,,337
107,,366
108,,357
109,,357
110,,337
111,,347
112,,390
113,,387
114,,348
115,,399
116,,403
117,,370
118,,390
119,,407
120,,366
121,,402
122,,414
123,,386
124,,372
125,,429
126,,391
127,,409
128,,419
129,,381
130,,424
131,,362
132,,400
133,,431
134,,410
135,,417
136,,406
137,,411
138,,388
139,,409
140,,388
141,,381
142,,361
143,,360
144,,371
145,,369
146,,361
147,,349
148,,339
149,,349
150,,338
151,,337
152,,362
153,,343
154,,305
155,,330
156,,304
157,,324
158,,320
159,,317
160,,314
161,,304
162,,320
163,,302
164,,288
165,,320
166,,289
167,,313
168,,273
169,,274
170,,289
171,,297
172,,306
173,,257
174,,283
175,,279
176,,282
177,,282
178,,283
179,,287
180,,305
181,,286
182,,289
183,,293
184,,264
185,,265
186,,296
187,,304
188,,252
189,,258
190,,259
191,,285
192,,250
193,,252
194,,286
195,,267
196,,282
197,,211
198,,278
199,,237
200,,253
201,,269
202,,235
203,,233
204,,229
205,,246
206,,241
207,,224
208,,195
209,,247
210,,272
211,,227
212,,232
213,,224
214,,222
215,,247
216,,248
217,,219
218,,224
219,,240
220,,239
221,,221
222,,225
223,,211
224,,225
225,,188
226,,208
227,,224
228,,192
229,,223
230,,233
231,,208
232,,231
233,,201
234,,218
235,,224
236,,217
237,,209
238,,205
239,,186
240,,210
241,,209
242,,186
243,,198
244,,179
245,,191
246,,194
247,,200
248,,195
249,,189
250,,202
251,,203
252,,174
253,,214
254,,210
255,,191
256,,199
257,,185
258,,210
259,,180
260,,191
261,,193
262,,169
263,,196
264,,197
265,,192
266,,192
267,,196
268,,211
269,,198
270,,209
271,,187
272,,186
273,,208
274,,169
275,,180
276,,197
277,,181
278,,206
279,,176
280,,184
281,,180
282,,194
283,,177
284,,193
285,,181
286,,196
287,,170
288,,186
289,,170
290,,219
291,,198
292,,181
293,,202
294,,183
295,,179
296,,188
297,,180
298,,211
299,,192
300,,175
301,,187
302,,199
303,,184
304,,182
305,,198
306,,179
307,,205
308,,200
309,,197
310,,209
311,,157
312,,196
313,,208
314,,192
315,,195
316,,186
317,,190
318,,182
319,,180
320,,197
321,,177
322,,183
323,,174
324,,198
325,,188
326,,189
327,,215
328,,184
329,,161
330,,173
331,,166
332,,183
333,,199
334,,178
335,,168
336,,155
337,,214
338,,175
339,,154
340,,182
341,,147
342,,155
343,,164
344,,177
345,,201
346,,151
347,,175
348,,191
349,,202
350,,193
351,,182
352,,221
353,,178
354,,190
355,,194
356,,183
357,,188
358,,208
359,,162
360,,183
361,,185
362,,186
363,,183
364,,192
365,,197
366,,207
367,,195
368,,162
369,,195
370,,188
371,,214
372,,162
373,,182
374,,172
375,,195
